SCENARIO,SVR_PEER,HUB_PEER,SVR_NODE,HUB_NODE,Peering node 1,Peering node 2,EMAIL
BICS -SVR AP/EU OP,Syniverse EU DSC,BICS EU DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,dra01b11.dra.bics.3gppnetwork.org/dra01b22.dra.bics.3gppnetwork.org,dra01b11.dra.bics.3gppnetwork.org,dra01b22.dra.bics.3gppnetwork.org,Signaling.election@bics.com
BICS -SVR NA OP,Syniverse NA DSC,BICS EU DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,dra01b11.dra.bics.3gppnetwork.org/dra01b22.dra.bics.3gppnetwork.org,dra01b11.dra.bics.3gppnetwork.org,dra01b22.dra.bics.3gppnetwork.org,Signaling.election@bics.com
BT ,Syniverse EU DSC,BT DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,dsc-nl-ams-eq01/,dsc-nl-ams-eq01,,provisionlteroam@bt.com
CMI - SVR NA OP,Syniverse NA DSC,CMI DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,dra01.dra.ipx.cmi.3gppnetwork.org/dra02.dra.ipx.cmi.3gppnetwork.org,dra01.dra.ipx.cmi.3gppnetwork.org,dra02.dra.ipx.cmi.3gppnetwork.org,steedchoi@cmi.chinamobile.com;sarahwang@cmi.chinamobile.com;johnzhang@cmi.chinamobile.com;andydeng@cmi.chinamobile.com
CMI -SVR AP/EU OP,Syniverse AP DSC,CMI DRA,hkg-01.dra.ipx.syniverse.3gppnetwork.org/sng-01.dra.ipx.syniverse.3gppnetwork.org,dra01.dra.ipx.cmi.3gppnetwork.org/dra02.dra.ipx.cmi.3gppnetwork.org,dra01.dra.ipx.cmi.3gppnetwork.org,dra02.dra.ipx.cmi.3gppnetwork.org,steedchoi@cmi.chinamobile.com;sarahwang@cmi.chinamobile.com;johnzhang@cmi.chinamobile.com;andydeng@cmi.chinamobile.com
Comfone - SVR NA OP,Syniverse NA DSC,Comfone DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,dranl01.comfone.com/draus01.comfone.com,dranl01.comfone.com,draus01.comfone.com,noc@comfone.com
Comfone - SVR AP/EU OP,Syniverse EU DSC,Comfone DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,dranl01.comfone.com/draus01.comfone.com,dranl01.comfone.com,draus01.comfone.com,noc@comfone.com
DT - SVR AP/EU OP,Syniverse EU DSC,DT EU DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,sdc-ffm01.diameter.dtag.grx/sdc-ffm21.diameter.dtag.grx,sdc-ffm01.diameter.dtag.grx,sdc-ffm21.diameter.dtag.grx,SNM.INMC-Frankfurt@telekom.de
DT -SVR NA OP,Syniverse NA DSC,DT EU DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,sdc-ffm01.diameter.dtag.grx/sdc-ffm21.diameter.dtag.grx,sdc-ffm01.diameter.dtag.grx,sdc-ffm21.diameter.dtag.grx,SNM.INMC-Frankfurt@telekom.de
Etisalat ,Syniverse EU DSC,Etisalat DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,drx1.ipx.etisalat.3gppnetwork.org/drx2.ipx.etisalat.3gppnetwork.org,drx1.ipx.etisalat.3gppnetwork.org,drx2.ipx.etisalat.3gppnetwork.org,networkops@etisalat.ae
FT - SVR NA OP,Syniverse NA DSC,FT EU DSC,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,"mp1/2.dsrreims.dea.orange-multimedia.net//mp1/2.dsrparis.dea.orange-multimedia.net","mp1.dsrreims.dea.orange-multimedia.net
mp2.dsrreims.dea.orange-multimedia.net","mp1.dsrparis.dea.orange-multimedia.net
mp2.dsrparis.dea.orange-multimedia.net",ss7.roaming@orange.com
FT -SVR AP/EU OP,Syniverse EU DSC,FT EU DSC,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,"mp1/2.dsrreims.dea.orange-multimedia.net//mp1/2.dsrparis.dea.orange-multimedia.net","mp1.dsrreims.dea.orange-multimedia.net
mp2.dsrreims.dea.orange-multimedia.net","mp1.dsrparis.dea.orange-multimedia.net
mp2.dsrparis.dea.orange-multimedia.net",ss7.roaming@orange.com
